job_url,title,company,description,niveau_etudes,niveau_experience,contrat,region,competences,publication_date,via,titre_homogene,secteur,niveau_qualification
,Architecte DATA (H/F) | Casablanca (Maroc),,Training Program ManagerMission principale :Piloter des projets spécifiques liés au développement et à la mise en œuvre des formations du centre en garantissant leur alignement avec les objectifs stratégiques et opérationnels.Responsabilités :· Gestion...,Bac +5 et plus,De 5 à 10 ans,CDI - Télétravail : Non,,"· capacité à travailler avec des experts techniques et académiques dans des domaines tels que l’industrie 4.0, l’iot, la data et l’ia.",2025-03-11,['Rekrute'],Data Architect,Data,5
,Architecte DATA (H/F) | Casablanca (Maroc),,"Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes : Vous répondez aux problématiques...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Hybride,,"formation bac + 5 en école d’ingénieur ou équivalent universitaire avec une spécialisation big data,",2025-03-10,['Rekrute'],,Informatique,
,Tech Lead DATA GCP (H/F) | Casablanca (Maroc),,"Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes : Accompagner des équipes métiers...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Hybride,,"expertise sur les services cloud data platform gcp : bigquery, cloud storage, dataproc, dataflow, cloud composer, vertex ai, looker…",2025-03-10,['Rekrute'],Data Engineer,Data,4
,Technical Leader DATAbricks (H/F) | Casablanca (Maroc),,"Intégré(e) au sein d'une équipe projets intervenant pour des clients dans des secteurs d'activités variées, vous serez notamment en charge des missions suivantes :  Développer des flux...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Hybride,,expertise databricks,2025-03-10,['Rekrute'],Data Engineer,Data,4
,Java GCP Cloud DATA Engineer- Full Remote | Sala al Jadida (Maroc),,"Are you a passionate and experienced Java Cloud Developer seeking a challenging and rewarding role? If so, this opportunity in the heart of the IT sector in Sala al Jadida, Morocco is perfect for you. This isn't just a job; it's a chance to make a...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Oui 100%,,strong knowledge of data engineering concepts and cloud architecture.,2025-03-10,['Rekrute'],Data Engineer,Data,4
,Directeur Achats & Supply Chain (H/F) | Casablanca (Maroc),,"En tant que pilier stratégique de l’organisation, vous avez pour mission de structurer, transformer et positionner la fonction Achats & Supply Chain comme un centre de profits. Avec plus de 300 millions d’achats par an, vous piloterez...",Bac +4,De 5 à 10 ans - De 10 à 20 ans,CDI - Télétravail : Non,,"capacité à anticiper et gérer les risques supply chain, avec une approche data-driven et décisionnelle.",2025-03-10,['Rekrute'],,Distribution - Autres Industries,
,Responsable DATA - Direction des Services Numériques | Rabat (Maroc),,"Nous recherchons un(e) RESPONSABLE DATA dynamique, compétente et hautement professionnel pour rejoindre notre équipe de la Direction des Services Numériques à l’HUIR. Le/la Responsable sera chargé(e) de : •...",Bac +5 et plus,De 10 à 20 ans,CDI - Télétravail : Non,,"• diplôme ingénieur ou diplôme universitaire (bac+5) en informatique, en science des données ou dans un domaine connexe (bac+5) • une spécialisation en gestion des données, en intelligence artificielle, ou en santé numérique serait un atout. • au moins dix (10) ans d’expérience significative dans le domaine de la gestion des données, de la science des données ou de l'analyse des données, idéalement dans le secteur de la santé. • expérience en gestion de projets data et en leadership d'équipes multidisciplinaires. • maîtrise des outils de gestion et d'analyse de données (sql, python, r, etc.). • connaissance des systèmes de gestion de bases de données, des entrepôts de données et des technologies de big data. • compétences en visualisation de données et en reporting (tableau, power bi, etc.). • bonne compréhension des normes et réglementations liées à la gestion des données de santé (rgpd, hipaa, etc.). • familiarité avec les systèmes d'information hospitaliers (sih) et les dossiers médicaux électroniques (dme). • capacité à communiquer efficacement avec des parties prenantes techniques et non techniques. • compétences en gestion d'équipe, en résolution de problèmes et en prise de décision. • aptitude à travailler dans un environnement dynamique et complexe. • maîtrise du français et de l'anglais, à l'oral et à l'écrit.",2025-03-06,['Rekrute'],Data Manager,Data,4
,Research Assistant in Genomics | Benguerir (Maroc),,"Animal biology and production in Morocco are central to the country's economy and food security, with key livestock species including sheep, cattle, goats, and poultry, alongside working animals like donkeys and camels in rural areas. While these sectors...",Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,"hands-on experience in bioinformatics analyses, particularly wes and rna data analysis.",2025-03-04,['Rekrute'],,Agriculture / Environnement,
,"Research assistant in Architecture, Planning & Design | Benguerir (Maroc)",,Job Description: We are seeking a Research Assistant with a strong background in integrated planning and territorial development to support a strategic research initiative. The project focuses on fostering balanced development by addressing the...,Bac +5 et plus,De 3 à 5 ans,CDD - Télétravail : Non,,"excellent analytical and problem-solving skills, with the ability to interpret and synthesize complex spatial data.",2025-03-04,['Rekrute'],Research Assistant,Research,2
,Research Project Coordinator | Benguerir (Maroc),,"Key Duties: Assist the Project Manager in developing project plans and schedules. Managing projects and collaborations with various research entities. Organize and facilitate team meetings, including setting agendas, tracking action items,...",Bac +5 et plus,De 3 à 5 ans,CDI - Télétravail : Non,,"expertise in remote sensing and/or vegetation mapping, and geospatial data analysis.",2025-03-04,['Rekrute'],,Enseignement / Formation,
